chapter,verse,sanskrit,hindi,english
1,11,अयनेषु च सर्वेषु यथाभागमवस्थिताः। भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि॥११॥,इसलिए सब मोर्चों पर अपनी-अपनी जगह स्थित रहते हुए आप लोग सभी निःसन्देह भीष्म पितामह की ही सब ओर से रक्षा करें ॥११॥,"Therefore, stationed in your respective positions, all of you should surely protect Bhisma on all sides."
1,12,तस्य संजनयतु हर्षं कुरुवृद्धः पितामहः | सिंहनादं विनयोच्चैः शंख दध्मो प्रतापवान् ॥१२॥,कौरवों में वृद्ध बड़े प्रतापी पितामह भीष्म ने उस दुर्योधन के हृदयमें हर्ष उत्पन्न करते हुए उच्च स्वर से सिंह की दहाड़ के समान गरजकर शंख बजाया ॥१२॥,"The grand old man of the Kaurava race, their glorious grand-uncle Bhisma, cheering up Duryodhana, roared terribly like a lion and blew his conch. (12)"
1,13,ततः शंखश्च भेर्यश्च पणवानकगोमुखाः | सहसेवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥१३॥,"इसके पश्चात शंख और नगारे तथा ढोल, मृदंग और नरसिंधे आदि बाजे एक साथ ही बज उठे। उनका वह शब्द बड़ा भयंकर हुआ ॥१३॥","Then conches kettledrums tabors, drums and trumpets suddenly blared forth and the noise was tumultuous. (13)"
1,14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितो | माधवः पाण्डवश्चैव दिव्यो शङ्खो प्रदध्मतुः ॥१४॥,इसके अनन्तर सफेद घोड़ों से युक्त उत्तम रथ में बैठे हुए श्रीकृष्ण महाराज और अर्जुन ने भी अलौकिक शंख बजाये ॥१४॥,"Then seated in a glorious chariot drawn by white horses, Sri Krsna as well as Arjuna blew their celestial conches. (14)"
1,15,पाञ्जन्यं हृषीकेशो देवदत्तं धनञ्जयः | पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥१५॥,"श्रीकृष्ण महाराज ने पाञ्जन्य नामक, अर्जुन ने देवदत्त नामक और भयानक कर्म वाले भीमसेन ने पौण्ड्र नामक महाशंख बजाया ॥१५॥","Sri Krsna blew His Conch named Pañcajanya; Arjuna, his own called Devadatta; while Bhima of terrible deeds blew his mighty conch Paundra. (15)"
1,16,अनन्तविजयं राजा कुंती पुत्रो युधिष्ठिरः । नकूलः सहदेवश्च सुघोषमणिपुष्पकौ ॥१६॥,कुंती पुत्र राजा युधिष्ठिर ने अनन्त विजय नामक और नकूल तथा सहदेव ने सुघोष और मणिपुष्पक नामक शंख बजाये ॥१६॥,"King Yudhisthira, son of Kunti, blew his conch Anantavijaya; while Nakula and Sahadeva blew theirs, known as Sughosa and Manipuspaka respectively."
1,17,काश्यश्च परमेष्वासः शिखण्डी च महारथः । धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ॥१७॥,"श्रेष्ठ धनुष वाले काशिराज और महारथी शिखण्डी एवं धृष्टद्युम्न तथा राजा विराट और अजेय सात्यकि,","And the excellent archer, the King of Kasi and Sikhandi the Maharathi (great car-warrior),"
1,18,दुपद्रो द्रौपदेयाश्च सर्वशः पृथिवीपते । सौभद्रश्च महाबाहुः शंखान्दध्मुः पृथक्पृथक् ॥१८॥,"राजा द्रुपद एवं द्रौपदी के पाँचों पुत्र और बड़ी भुजावाले सुभद्रा पुत्र अभिमन्यु—इन सभी ने, हे राजन्! सब और से अलग-अलग शंख बजाये ॥१७-१८॥","and the sons of Drupada and Draupadi, and the mighty-armed Subhadra's son Abhimanyu—all of them, O King, blew their respective conches separately."
1,19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् | नभश्च पृथिवीं चैव तुमुलो व्युनादयन् || १९ ||,और उस भयानक शब्द ने आकाश और पृथ्वी को भी गूँजाते हुए धार्तराष्ट्रों के यानी आपके पक्ष वालों के हृदय विदीर्ण कर दिये || १९ ||,"And the terrible sound, echoing through heaven and earth, rent the hearts of Dhritarashtra’s sons."
1,20,"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः | प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः || २० || हे राजन् ! इसके बाद कपिध्वज अर्जुन ने मोर्चा बाँधकर डटे हुए धृतराष्ट्र-सम्बन्धियों को देखकर, उस शत्रु चलने की तैयारी के समय धनुष उठाकर हृषीकेश श्रीकृष्ण महाराज से यह वचन कहा—हे अच्युत ! मेरे रथ को दोनों सेनाओं के बीच में खड़ा कीजिये ॥२०॥","अथ व्यवस्थित धार्तराष्ट्रों को कपिध्वज (अर्जुन) ने देखा, जब वे शस्त्रों से सुसज्जित हो गए, तब धनुष उठाकर पाण्डव ने युद्ध की तैयारी की। हे राजन् ! इसके बाद कपिध्वज अर्जुन ने मोर्चा बाँधकर डटे हुए धृतराष्ट्र-सम्बन्धियों को देखकर, उस शत्रु चलने की तैयारी के समय धनुष उठाकर हृषीकेश श्रीकृष्ण महाराज से यह वचन कहा—हे अच्युत ! मेरे रथ को दोनों सेनाओं के बीच में खड़ा कीजिये ॥२०॥","Then, seeing the arranged armies of the sons of Dhritarashtra, the one with the banner of Hanuman (Arjuna) took up his bow, ready for battle. Now, O lord of the earth, seeing your sons arrayed against him, and when missiles were ready to be hurled, Arjuna, son of Pandu, took up his bow and then addressed the following words to Sri Krsna; Krsna, place my chariot between the two armies. (20)"
1,21,हृषीकेशं तदा वाक्यमिदमाह महीपते | सेनयोः मध्येमध्ये रथं स्थापय मेऽच्युत || २१ || यावदेतानिरीक्षेऽहं योद्धुकामानवस्थितान् । कैर्मया सह योद्धव्यस्मिन् रणसमुद्यमे ॥२१॥,"तब हे पृथिवीपति (कृष्ण), हृषीकेश (कृष्ण) ने कहा, हे अच्युत, सेनाओं के मध्य में मेरा रथ स्थापित करो। और जब तक कि मैं युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इन विपक्षी योद्धाओं को भली प्रकार देख लूँ कि इस युद्ध रूप व्यापार में मुझे किन-किन के साथ युद्ध करना योग्य है, तब तक उसे खड़ा रखिये ॥२१॥","Then, O King, Hrishikesha (Krishna) said these words: Place my chariot in the midst of the armies, O Achyuta. And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight. (21)"
1,22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्। कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ।।२।।,"और जब तक कि मैं युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इन विपक्षी योद्धाओं को भली प्रकार देख लूँ कि इस युद्ध रूप व्यापार में मुझे किन-किन के साथ युद्ध करना योग्य है, तब तक उसे खड़ा रखिये ।। २२ ।।","And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight."
1,23,योऽस्मान् नवेक्षेऽहं य एतेऽत्र समागताः | धार्तराष्ट्रस्य दुर्बुद्धेर्युधि प्रियचिकीर्षवः || २३ ||,"दुर्बुद्धि दुर्योधन का युद्ध में हित चाहने वाले जो-जो ये राजा लोग इस सेना में आये हैं, इन युद्ध करने वालों को मैं देखूँगा ॥ २३ ॥","I shall scan the well-wishers in this war of evil-minded Duryodhana, whoever have assembled on this side and are ready for the fight."
1,24,एवमुक्तो हृषीकेशो गुडाकेशेन भारत | सेनयोर्घोषो मध्वे स्थापयित्वा रथोत्तमम् || २४ ||,सज्जय बोले—हे धृतराष्ट्र! अर्जुन द्वारा इस प्रकार कहे हुए महाराज श्रीकृष्ण चन्द्र ने दोनों सेनाओं के बीच में भीष्म और द्रोणाचार्य के सामने तथा सम्पूर्ण राजाओं के सामने उत्तम रथ को खड़ा करके इस प्रकार कहा कि हे पार्थ! युद्ध के लिये जुटे हुए इन कौरवों को देख ॥ २४ ॥,"Thus addressed, Hrishikesha, the son of Gudakesha, stationed the best chariot in the midst of the armies, sounding the war-cry."
1,25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् | उवाच पार्थ पश्यैतान् समवेतान् कुरुनन्दन || २५ ||,भीष्म और द्रोणाचार्य के नेतृत्व में सभी राजाओं को देखकर पार्थ ने कहा—,"At the head of all the kings, led by Bhishma and Drona, Arjuna said: O son of Kuru, behold these assembled warriors."
1,26,तत्रापस्थितान् पार्थः पितृनथ पितामहान् । आचार्यान्मातुलान् श्रुतपुत्रान् पौत्रान् सर्वसत्त्वान् ॥ २६ ॥ श्वशुरान् सुहृदश्चैव सेनयोरुभयोरपि ।,"इसके बाद पृथापुत्र अर्जुन ने उन दोनों ही सेनाओं में स्थित ताऊ-चाचों को, दादों परदादों को, गुरुओं को, मामाओं को, भाइयों को, पुत्रों को, पौत्रों को तथा मित्रों को, ससुरों को और सुहृदों को भी देखा ।। २६ और २७वें का पूर्वार्ध ।।","Now Arjuna saw stationed there in both the armies his uncles, grand-uncles and teachers, even great grand-uncles, maternal uncles, brothers and cousins, sons and nephews, and grand-nephews, even so friends, fathers-in-law and well-wishers as well."
1,27,तान् समीक्ष्य स कौन्तेयः सर्वान् बन्धुनवस्थितान्।। २७।। कृपया परयाविष्टो विषीदद्द्रिमदम्बरेऽवत् ।,उन उपस्थित सम्पूर्ण बन्धुओं को देखकर वह कुत्तीपुत्र अर्जुन अत्यन्त करुणा से युक्त होकर शोक करते हुए यह बचन बोले ।। २७वेंका उत्तरार्ध और २८वेंका पूर्वार्ध ।।,"Seeing all those relations present there, Arjuna was filled with deep compassion, and uttered these words in sadness. (Second half of 27 and first half of 28)."
1,29,सीदन्ति मम गात्राणि मुखं च परिशुष्यति। वेपथुश्च शरीरे मे रोमहर्षश्च जायते ॥२९॥,मेरा मुख सूखा जा रहा है तथा मेरे शरीर में कंप एवं रोमांच हो रहा है।,"My mouth is drying up, my body shivers, and my hair stands on end."
1,28,दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्।। २८।। सीदन्ति मम गात्राणि मुखं च परिशुष्यति। वेपथुश्च शरीरे मे रोमाञ्चश्च जायते।। २८।।,अर्जुन बोले—हे कृष्ण ! युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इस स्वजन समुदाय को देखकर मेरे अंग शिथिल हुए जा रहे हैं और मुख सूखा जा रहा है तथा मेरे शरीर में कम्प एवं रोमाञ्च हो रहा है ।। २८वेंका उत्तरार्ध और २६ ।।,"Arjuna said—O Krishna! Seeing my own kinsmen eager to fight, my limbs are weakening, my mouth is drying up, and my body is trembling with shivers and goosebumps."
1,30,गाण्डीवं संस्ते हस्तात्त्वक्चैव परिदह्यते | न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः || ३० ||,"हाथ से गाण्डीव धनुष गिर रहा है और त्वचा भी बहुत जल रही है तथा मेरा मन भ्रमित-सा हो रहा है, इसलिए मैं खड़ा रहने को भी समर्थ नहीं हूँ || ३० ||","The bow, Gandiva, slips from my hand and my skin too burns all over; my brain is whirling, as it were, and I can stand no longer. (30)"
1,31,निमित्तानि च पश्यामि विपरीतानि केशव | न च श्रेयोऽजुपश्यामि हत्वा स्वजनमाहवे || ३१ ||,हे केशव! मैं लक्ष्णों को भी विपरीत ही देख रहा हूँ तथा युद्ध में स्वजन-समुदाय को मारकर कल्याण भी नहीं देखता || ३१ ||,"And, Kesava, I see such omens of evil, nor do I see any good in killing my kinsmen in battle"
1,32,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च । किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ॥ ३२ ॥,हे कृष्ण ! मैं न तो विजय चाहता हूँ और न राज्य तथा सुखों को ही । हे गोविन्द ! हमें ऐसे राज्य से क्या प्रयोजन है अथवा ऐसे भोगों से और जीवन से भी क्या लाभ है ? ॥ ३२ ॥,"Krsna, I do not covet victory, nor kingdom nor pleasures. Govinda, of what use will kingdom, or luxuries, or even life be to us! (32)"
1,33,येषामर्थं काङ्क्षितं नो राज्यं भोगाः सुखानि च । त इमेवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ॥ ३३ ॥,"हमें जिनके लिये राज्य, भोग और सुखादि अभिष्ट हैं; वे ही ये सब धन और जीवन की आशा को त्याग कर युद्ध में खड़े हैं॥ ३३॥","Those very persons for whose sake we covet the throne, luxuries and pleasures—are here arrayed on the battlefield, having renounced wealth and even life itself. (33)"
1,34,आचार्याः पितरः पुत्रास्तथैव च पितामहाः। मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा॥३४॥,"गुरुजन, ताऊ-चाचा, लड़के और उसी प्रकार दादा, मामा, ससुर, पौत्र, साले तथा और भी सम्बन्धी लोग हैं॥ ३४॥","Teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives are also present here in battle. (34)"
1,35,एतत्र हन्तुमिच्छामि नतोऽपि मधुसूदन। अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते॥ ३५॥,हे मधुसूदन! मुझे मारने पर भी अथवा तीनों लोकों के राज्य के लिये भी मैं इन सबको मारना नहीं चाहता; फिर पृथ्वी के लिये तो कहना ही क्या है?॥ ३५॥,"O Slayer of Madhu, I do not want to kill them, though they should slay me, even for the throne of the three worlds; how much the less from earthly lordship!"
1,36,निहत्य धार्तराष्ट्रान् का प्रीति: स्याज्जनार्दन। पापमेवाश्रयेदस्मान् हत्वैतानाततायिनः।।३६।।,हे जनार्दन! धृतराष्ट्र के पुत्रों को मारकर हमें क्या प्रसन्नता होगी? इन आततायियों को मारकर तो हमें पाप ही लगेगा।।३६।।,"Krsna, how can we hope to be happy slaying the sons of Dhrtarastra; killing these desperadoes sin will surely take hold of us. (36)"
1,37,तस्माभार्थं वयं हन्तुं धार्तराष्ट्रान् स्वजनध्वान्। स्वजनं हि कथं हत्वा सुखिनः स्याम माधव।।३७।।,अतएव हे माधव! अपने ही बान्धव धृतराष्ट्र के पुत्रों को मारने के लिये हम योग्य नहीं हैं; क्योंकि अपने ही कुटुम्ब को मारकर हम कैसे सुखी होंगे?।।३७।।,"Therefore, Krsna, it does not behove us to kill our relations, the sons of Dhritarashtra. For how can we be happy after killing our own kinsmen? (37)"
1,38,यद्यप्ये न पश्यन्ति लोभोपहतचेतसः | कुलक्षयकृतं दोषं मित्रदोहे च पातकम् || ३८ ||,"यद्यपि लोभ से भ्रष्टचित हुए ये लोग कुल के नाश से उत्पन्न दोष को और मित्रों से विरोध करने में पाप को नहीं देखते,","Even if these people, with minds blinded by greed; perceive no evil in destroying their own race"
1,39,कथं न ज्ञेयमसामिः पापादस्माभिर्वर्तितुम् | कुलक्षयकृतं दोषं प्रपश्यद्भिर्नारदर्न || ३९ ||,तो भी हे जनार्दन! कुल के नाश से उत्पन्न दोष को जानने वाले हम लोगों को इस पाप से हटने के लिये क्यों नहीं विचार करना चाहिए।,"and no sin in treason to friends, why should not we, O Krsna, who see clearly the sin accruing from the destruction of one’s family think of turning away from this crime."
1,40,कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः | धर्मं नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत || 40 ||,"कुल के नाश से सनातन कुलधर्म नष्ट हो जाते हैं, धर्म के नाश हो जाने पर सम्पूर्ण कुल में पाप भी बहुत फैल जाता है ॥ 40 ॥","Age-long family traditions disappear with the destruction of a family; and virtue having been lost, vice takes hold of the entire race."
1,41,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः | स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः || 41 ||,हे कृष्ण! पाप के अधिक बढ़ जाने से कुल की स्त्रियाँ अत्यन्त दूषित हो जाती हैं और हे वार्ष्णेय! स्त्रियों के दूषित हो जाने पर वर्णसंकर उत्पन्न होता है ॥ 41 ॥,"With the preponderance of vice, Krsna, the women of the family become corrupt; and with the corruption of women, O descendant of Vrsni, there ensues an intermixture of castes."
1,42,संकरो नरकायैव कुलघ्नानां कुलस्य च । पतन्ति पितरो षेषां लुप्तपिण्डोदकक्रियाः ॥४२॥,वर्णसंकर कुलघातियों को और कुल को नरक में ले जाने के लिये ही होता है। लुप्त हुई पिण्ड और जल की क्रिया वाले अर्थात् श्रद्धा और तर्पण से वंचित इनके पितर लोग भी अधोगति को प्राप्त होते हैं ॥४२॥,"Admixture of blood damns the destroyers of the race as well as the race itself. Deprived of the offerings of rice and water (Sraddha, Tarpana, etc.,) the manes of their race also fall."
1,43,दोषैरैतेः कुलघ्नानां वर्णसंकरकारकैः । उत्पाद्यन्ते जातिधर्माः कुलधर्माभ्यशाश्वताः ॥४३॥,इन वर्णसंकरकारक दोषों से कुलघातियों के सनातन कुल-धर्म और जाति-धर्म नष्ट हो जाते हैं ॥४३॥,"Through these evils bringing about an intermixture of castes, the age-long caste- traditions and family customs of the killers of kinsmen get extinct. (43)"
1,44,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन। नरकेनियतं वासो भवतीत्यनुशुश्रुम॥४४॥,"हे जनार्दन ! जिनका कुल-धर्म नष्ट हो गया है, ऐसे मनुष्यों का अनिश्चित काल तक नरक में वास होता है, ऐसा हम सुनते आये हैं ॥४४॥","Krsna, we hear that men who have lost their family traditions dwell in hell for an indefinite period of time."
1,45,अहो वत महत्पापं कर्तुं व्यवसिताः वयम्। यदाज्यसुखलोभेन हन्तुं स्वजनमुच्यताः॥४५॥,"हा ! शोक ! हम लोग बुद्धिमान होकर भी महान् पाप करने को तैयार हो गये हैं, जो राज्य और सुख के लोभ से स्वजनों को मारने के लिये उद्यत हो गये हैं ॥४५॥",Oh what a pity! Though possessed of intelligence we have set our mind on the commission of a great sin in that due to lust
1,46,यदि मामप्रतीकारमशस्त्रं शत्रुपाणयः | धाताराष्ट्रे रणे हन्यस्तन्मे क्षेमतरं भवेत् || ४६ ||,यदि मुझ शस्त्ररहित एवं सामना न करने वाले को शस्त्र हाथ में लिये हुए धृतराष्ट्र के पुत्र रण में मार डालें तो वह मारना भी मेरे लिये अधिक कल्याणकारक होगा ॥ ४६ ॥,"It would be better for me if the sons of Dhritarashtra, armed with weapons, killed me in battle while I was unarmed and unresisting."
1,47,एवमुक्तःसञ्जयः सङ्ख्ये स्थापयस्थपथ उपाविशत् | विषूच्य सशरं चापं शोकसंविग्नमानसः || ४७ ||,सञ्जय बोले— रणभूमि में शोक से उद्विग्न मन वाला अर्जुन इस प्रकार कहकर वाणसहित धनुष को त्यागकर रथ के पीछे भाग में बैठ गया ॥ ४७ ॥,"Thus addressed, Sanjaya, standing in the midst of the armies, sat down on the chariot’s seat, his mind overwhelmed with grief, and having set aside his bow and arrows."
2,1,तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् | विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ॥1॥,सज्जय बोले—उस प्रकार करुणा से व्याप्त और आँसुओं से पूर्ण तथा व्याकुल नेत्रों वाले शोकयुक्त उस अर्जुन के प्रति भगवान् मधुसूदन ने यह वचन कहा॥1॥,"Sañjaya said: Sri Krsna then addressed the following words to Arjuna, who was as mentioned before overwhelmed with pity, whose eyes were filled with tears and agitated, and who was full of sorrow."
2,2,कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम् । अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन ॥२॥,"श्रीभगवान् बोले—हे अर्जुन! तुझे इस असमय में यह मोह किस हेतु से प्राप्त हुआ? क्योंकि न तो यह श्रेष्ठ पुरुषों द्वारा आचरण है, न स्वर्ग को देने वाला है और न कीर्तिको करने वाला ही है ॥२॥","Sri Bhagavan said: Arjuna, how has this infatuation overtaken you at this odd hour? It is shunned by noble souls; neither will it bring heaven, nor fame, to you."
2,3,क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते । क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ॥३॥,"इसलिए हे अर्जुन! नपुंसकता को मत प्राप्त हो, तुझमें यह उचित नहीं जान पड़ती। हे परन्तप! हृदय की तुच्छ दुर्बलता को त्याग कर युद्ध के लिये खड़ा हो जा ॥३॥","Yield not to unmanliness, Arjuna; ill does it become you. Shaking off this paltry faint-heartedness stand up, O scorcher of enemies."
2,4,कथं भीष्ममहं संख्ये द्रोणं च मधुसूदन | इषुभिः प्रतियोत्स्यामि पूजाहविरसूदन || ४ ||,अर्जुन बोले— हे मधुसूदन! मैं रणभूमि में किस प्रकार वाणों से भीष्म पितामह और द्रोणाचार्य के विरुद्ध लड़ूँगा? क्योंकि हे अरिसूदन! वे दोनों ही पूजनीय हैं॥ ४॥,"Arjuna said: How, Krsna, shall I fight Bhisma and Drona with arrows on the battlefield? They are worthy of deepest reverence, O destroyer of foes."
2,5,गुरूनहवा हि महानुभावांश्चैव भूतानां भैक्ष्यमपीह लोके | हत्वार्थकामांस्तु गुरुनिहैव भुज्यीय भोगान् रुधिरप्रदिग्धान् || ५ ||,इसलिए इन महानुभाव गुरुओं को न मारकर मैं इस लोक में भिक्षा का अन्न भी खाना कल्याणकारक समझता हूँ। क्योंकि गुरुओं को मारकर भी इस लोक में रुधिर से सने हुए अर्थ और कामरूप भोगों को ही तो भोगूँगा॥ ५॥,"Therefore, I consider it better not to kill these venerable teachers in this world, even if it means living on alms. For if I kill the teachers, I shall enjoy only the blood-stained wealth and pleasures of this world."
2,6,न चैतद्दुःखतरं गरीयं यदाजयेम यदि वा नो जयेमुः । यानेव हत्वा न जिजीविषामस्तेऽवस्थिताः प्रभुगे धार्तराष्ट्राः ॥६॥,"हम यह भी नहीं जानते कि हमारे लिये युद्ध करना और न करना—इन दोनों में से कौन-सा श्रेष्ठ है, अथवा यह भी नहीं जानते कि उन्हें हम जीतेंगे या हमको वे जीतेंगे। और जिन को मारकर हम जीना भी नहीं चाहते, वे ही हमारे आत्मीय धृतराष्ट्र के पुत्र हमारे मुकाबले में खड़े हैं ॥६॥","Wo do not even know which is preferable for us—to fight or not to fight; nor do we know whether we shall win or whether they will conquer us. Those very sons of Dhrtarastra, killing whom we do not even wish to live, stand in the enemy ranks. (6)"
2,7,कार्पण्यदोषपहतस्वभावः पृच्छामि त्वां धर्मसंमूढचेताः। यच्छ्रेयोऽस्मि तत्त्वं ज्ञात्वा तन्ने शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम्॥७॥,"इसलिए कायरता रूप दोष से उपहत हुए स्वभाव वाला तथा धर्म के विषय में मोहित चित हुआ मैं आपसे पूछता हूँ कि जो साधन निश्चित कल्याण कारक हो, वह मेरे लिये कहिये; क्योंकि मैं आपका शिष्य हूँ, इसलिए आपके शरण हुए मुझको शिक्षा दीजिये॥७॥","With my very being tainted by the vice of faint-heartedness and my mind puzzled with regard to duty, I am asking you. Tell me that which is decidedly good; I am Your disciple. Pray instruct me, who have put myself into Your hands."
